episode,phase,players,wins,win_rate,avg_rank,avg_pins,avg_score,combined_score,promoted
0,baseline,4,6,25.0,2.6667,8.0833,1444.75,179.5,1
0,baseline,6,7,29.1667,3.6667,8.2083,1496.5,179.5,1
20,eval,4,6,25.0,2.4583,7.875,1423.4167,157.2083,0
20,eval,6,4,16.6667,4.0833,7.5833,1303.3333,157.2083,0
40,eval,4,4,16.6667,2.7083,7.875,1336.8333,146.3333,0
40,eval,6,3,12.5,3.7917,7.7083,1278.0833,146.3333,0
60,eval,4,9,37.5,2.4167,8.625,1625.9167,164.8333,0
60,eval,6,1,4.1667,4.0833,7.7083,1193.9167,164.8333,0
80,eval,4,5,20.8333,2.6667,7.9167,1387.9167,158.3333,0
80,eval,6,5,20.8333,4.0,7.9167,1380.1667,158.3333,0
100,eval,4,10,41.6667,2.25,8.625,1669.3333,195.125,1
100,eval,6,5,20.8333,3.7083,7.875,1380.0,195.125,1
120,eval,4,12,50.0,2.2083,8.5833,1746.25,240.5,1
120,eval,6,9,37.5,2.7917,8.6667,1631.9167,240.5,1
